nazwa;ulica;kod pocztowy;osoba kontaktowa;
Koniczynka;M. Skłodowskiej-Curie 61;87-100;Przemysław Świtlikowski;
Świat Dywanów FHU OLEK;Lubelska 1/1;85-326;Kacper;

